question_id,job_domain,interview_type,category,difficulty,question,expected_concepts
1,AI/ML Engineer,Technical,Machine Learning,Easy,"What is the difference between supervised and unsupervised learning?","labeled data;unlabeled data;supervised learning;unsupervised learning;prediction;pattern discovery"
2,AI/ML Engineer,Technical,Machine Learning,Easy,"What is the difference between classification and regression?","classification;categorical output;regression;continuous output;prediction"
3,AI/ML Engineer,Technical,Machine Learning,Medium,"What is overfitting and how can you prevent it?","training data;poor test performance;generalization;regularization;cross validation;data augmentation"
4,AI/ML Engineer,Technical,Machine Learning,Medium,"What is underfitting and how can you fix it?","high bias;poor training performance;model complexity;feature engineering;training"
5,AI/ML Engineer,Technical,Machine Learning,Medium,"What is the difference between precision recall and F1 score?","precision;recall;true positive;false positive;false negative;F1 score"
6,AI/ML Engineer,Technical,Machine Learning,Medium,"What is cross-validation and why is it useful?","K-fold;training folds;validation fold;model evaluation;generalization"
7,AI/ML Engineer,Technical,Machine Learning,Medium,"What is feature engineering and why is it important?","feature creation;feature transformation;feature selection;domain knowledge;model performance"
8,AI/ML Engineer,Technical,Machine Learning,Hard,"How would you handle an imbalanced classification dataset?","class imbalance;oversampling;undersampling;SMOTE;class weights;precision;recall;F1 score"
9,AI/ML Engineer,Technical,Deep Learning,Medium,"What is an artificial neural network and how does it work?","neurons;input layer;hidden layer;output layer;weights;activation function"
10,AI/ML Engineer,Technical,MLOps,Hard,"How would you take a machine learning model from development to production?","model training;evaluation;serialization;API;deployment;Docker;monitoring;model drift"
11,AI/ML Engineer,HR,Behavioral,Easy,"Tell me about yourself and why you want to become an AI/ML Engineer.","education;technical skills;AI interest;ML interest;projects;career goal"
12,AI/ML Engineer,HR,Behavioral,Medium,"Tell me about an AI or machine learning project you have worked on.","project objective;your role;technologies;implementation;result;learning"
13,AI/ML Engineer,HR,Behavioral,Medium,"Tell me about a difficult technical problem you faced and how you solved it.","situation;problem;action;solution;result;learning"
14,AI/ML Engineer,HR,Behavioral,Medium,"Why should we hire you for an AI/ML internship?","relevant skills;projects;problem solving;learning ability;contribution"
15,AI/ML Engineer,HR,Behavioral,Medium,"What do you do when you do not know how to solve a technical problem?","research;documentation;experimentation;debugging;asking for help;learning"
16,AI/ML Engineer,HR,Behavioral,Medium,"Tell me about a time when your project did not work as expected.","problem;investigation;debugging;adaptation;solution;learning"
17,AI/ML Engineer,HR,Behavioral,Medium,"How do you keep yourself updated with AI and machine learning?","research;papers;documentation;courses;projects;experimentation"
18,AI/ML Engineer,HR,Behavioral,Medium,"Describe a time when you had to learn a new technology quickly.","new technology;learning strategy;practice;implementation;result"
19,AI/ML Engineer,HR,Behavioral,Medium,"How do you handle feedback on your technical work?","feedback;acceptance;improvement;code review;learning;professionalism"
20,AI/ML Engineer,HR,Behavioral,Medium,"Where do you see yourself in AI/ML in the next three years?","career growth;technical expertise;AI/ML skills;projects;continuous learning"

21,Data Analyst,Technical,SQL,Easy,"What is the difference between WHERE and HAVING in SQL?","WHERE;row filtering;HAVING;group filtering;GROUP BY;aggregate functions"
22,Data Analyst,Technical,SQL,Medium,"How would you find duplicate records in a SQL table?","GROUP BY;COUNT;HAVING;duplicate values"
23,Data Analyst,Technical,SQL,Medium,"Explain INNER JOIN LEFT JOIN and RIGHT JOIN with an example.","INNER JOIN;LEFT JOIN;RIGHT JOIN;matching rows;unmatched rows"
24,Data Analyst,Technical,SQL,Medium,"What is a primary key and why is it important?","unique identifier;row;uniqueness;NOT NULL;data integrity"
25,Data Analyst,Technical,SQL,Hard,"How would you find the second highest salary from an employee table?","ORDER BY;DESC;LIMIT;OFFSET;subquery;DENSE_RANK"
26,Data Analyst,Technical,Statistics,Easy,"What is the difference between mean median and mode?","mean;median;mode;central tendency;outliers"
27,Data Analyst,Technical,Statistics,Medium,"What is standard deviation and what does it tell us?","standard deviation;variance;spread;distribution;mean"
28,Data Analyst,Technical,Data Analysis,Medium,"How would you handle missing values in a dataset?","missing values;deletion;mean;median;mode;imputation;business context"
